2025-12-05 21:35:41 | khan92 | chrome | 3.2 | 1.6
2025-12-05 21:35:41 | khan92 | code | 1.2 | 2.6
2025-12-05 21:35:41 | khan92 | Xwayland | 1.0 | 0.6
2025-12-05 21:35:41 | khan92 | code | 0.9 | 1.3
2025-12-05 21:36:05 | khan92 | gnome-shell | 82.5 | 3.1
2025-12-05 21:36:05 | khan92 | code | 10.3 | 2.9
2025-12-05 21:36:05 | khan92 | chrome | 6.1 | 1.2
2025-12-05 21:36:05 | khan92 | code | 6.0 | 1.0
2025-12-05 21:36:05 | khan92 | chrome | 4.4 | 2.3
2025-12-05 21:36:05 | khan92 | chrome | 3.7 | 2.7
2025-12-05 21:36:05 | khan92 | chrome | 3.1 | 1.6
2025-12-05 21:36:05 | khan92 | code | 1.2 | 2.6
2025-12-05 21:36:05 | khan92 | Xwayland | 1.1 | 0.6
2025-12-05 21:36:05 | khan92 | code | 0.9 | 1.3
2025-12-05 21:36:11 | khan92 | gnome-shell | 82.3 | 3.1
2025-12-05 21:36:11 | khan92 | code | 10.3 | 2.9
2025-12-05 21:36:11 | khan92 | chrome | 6.1 | 1.2
2025-12-05 21:36:11 | khan92 | code | 6.0 | 1.0
2025-12-05 21:36:11 | khan92 | chrome | 4.3 | 2.3
2025-12-05 21:36:11 | khan92 | chrome | 3.6 | 2.7
2025-12-05 21:36:11 | khan92 | chrome | 3.1 | 1.6
2025-12-05 21:36:11 | khan92 | code | 1.2 | 2.6
2025-12-05 21:36:11 | khan92 | Xwayland | 1.1 | 0.6
2025-12-05 21:36:11 | khan92 | code | 0.9 | 1.3
2025-12-05 21:36:35 | khan92 | gnome-shell | 81.6 | 3.1
2025-12-05 21:36:35 | khan92 | code | 10.3 | 2.9
2025-12-05 21:36:35 | khan92 | code | 6.0 | 1.0
2025-12-05 21:36:35 | khan92 | chrome | 5.9 | 1.2
2025-12-05 21:36:35 | khan92 | chrome | 4.2 | 2.3
2025-12-05 21:36:35 | khan92 | chrome | 3.5 | 2.7
2025-12-05 21:36:35 | khan92 | chrome | 3.0 | 1.6
